ticket_id,created_at,status,assignee,team,subject,priority,last_updated_at
OPS-1001,2026-01-20T08:15:00Z,open,,Payments,Card chargeback needs evidence,urgent,2026-01-20T09:00:00Z
OPS-1002,2026-01-20T09:30:00Z,pending,Leila,Payments,Refund batch is waiting for review,high,2026-01-20T12:00:00Z
OPS-1003,2026-01-20T11:00:00Z,in_progress,Arman,Access,New starter cannot access the admin console,urgent,2026-01-20T11:30:00Z
OPS-1004,2026-01-20T13:20:00Z,open,Nima,Logistics,Replacement shipment has no scan,normal,2026-01-20T15:10:00Z
OPS-1005,2026-01-20T15:45:00Z,resolved,Sara,Payments,Duplicate invoice was corrected,high,2026-01-20T16:00:00Z
OPS-1006,2026-01-20T18:10:00Z,open,,Access,Two-factor device was lost,high,2026-01-20T18:20:00Z
OPS-1007,2026-01-21T07:05:00Z,pending,Leila,Payments,Tax receipt is missing for a completed order,normal,2026-01-21T08:00:00Z
OPS-1008,2026-01-21T09:40:00Z,closed,Arman,Access,Contractor access was removed,low,2026-01-21T10:00:00Z
OPS-1009,2026-01-21T12:25:00Z,open,Sara,Logistics,Warehouse label prints with the wrong postcode,high,2026-01-21T13:00:00Z
OPS-1010,2026-01-21T16:00:00Z,in_progress,Nima,Payments,Payout reconciliation differs by one record,urgent,2026-01-21T17:00:00Z
OPS-1011,2026-01-21T19:30:00Z,open,,Access,Invite link expired before onboarding,normal,2026-01-21T20:10:00Z
OPS-1012,2026-01-22T06:45:00Z,pending,Leila,Logistics,Delivery address needs a manual correction,low,2026-01-22T07:20:00Z
OPS-1013,2026-01-22T08:10:00Z,open,Arman,Payments,Payment retry is stuck in pending state,urgent,2026-01-22T09:00:00Z
OPS-1014,2026-01-22T10:55:00Z,resolved,Sara,Access,Role request completed,normal,2026-01-22T11:30:00Z
OPS-1015,2026-01-22T13:35:00Z,open,Nima,Logistics,Customer reports a damaged parcel,high,2026-01-22T14:00:00Z
OPS-1016,2026-01-22T16:20:00Z,open,,Payments,Settlement file has not arrived,urgent,2026-01-22T17:00:00Z
OPS-1017,2026-01-22T18:50:00Z,pending,Leila,Access,Password reset loop affects one user,normal,2026-01-22T19:00:00Z
OPS-1018,2026-01-23T07:15:00Z,open,Arman,Logistics,Carrier pickup was missed,high,2026-01-23T08:00:00Z
OPS-1019,2026-01-23T09:25:00Z,in_progress,Sara,Payments,Manual payout approval is blocked,urgent,2026-01-23T10:15:00Z
OPS-1020,2026-01-23T11:40:00Z,open,,Access,Shared mailbox ownership is unclear,low,2026-01-23T12:00:00Z
OPS-1021,2026-01-23T13:05:00Z,pending,Nima,Logistics,Tracking link points to an old parcel,normal,2026-01-23T13:30:00Z
OPS-1022,2026-01-23T14:20:00Z,open,Leila,Payments,Customer asks for a corrected receipt,low,2026-01-23T15:00:00Z
OPS-1023,2026-01-23T15:10:00Z,closed,Arman,Access,Temporary vendor access ended,low,2026-01-23T15:45:00Z
OPS-1024,2026-01-23T16:00:00Z,open,Sara,Logistics,Return label request is unassigned by carrier,high,2026-01-23T16:30:00Z
OPS-1025,2026-01-23T16:40:00Z,in_progress,Nima,Payments,Invoice export times out for one account,urgent,2026-01-23T17:00:00Z
OPS-1026,2026-01-23T17:15:00Z,open,,Access,New device enrollment cannot complete,high,2026-01-23T17:45:00Z
OPS-1027,2026-01-23T18:05:00Z,pending,Leila,Logistics,Package is waiting at a pickup point,normal,2026-01-23T18:30:00Z
OPS-1028,2026-01-23T18:35:00Z,open,Arman,Payments,Refund confirmation was not sent,normal,2026-01-23T18:45:00Z
OPS-1029,2026-01-23T19:00:00Z,open,Sara,Access,SSO group membership is stale,high,2026-01-23T19:30:00Z
OPS-1030,2026-01-23T19:20:00Z,pending,Nima,Logistics,Address verification needs a second pass,low,2026-01-23T19:45:00Z
OPS-1001,2026-01-20T08:15:00Z,open,,Payments,Duplicate source row,urgent,2026-01-20T09:00:00Z
OPS-1031,not-a-timestamp,open,,Payments,Malformed timestamp example,high,2026-01-23T20:00:00Z
